Publication Year,Author,Title,Publication Title,DOI,Pages,Issue,Volume,Manual Tags
2006,"Bai, Z. M.; Wang, C. Y.",Crustal P-wave velocity structure in Lower Yangtze region: Reinterpretation of Fuliji-Fengxian deep seismic sounding profile,Chinese Science Bulletin,10.1007/s11434-006-2115-z,2391-2400,19 ,51,#DSS; #Yangtze; #符离集-奉贤
1994,"Cao, Jia Min; Zhu, Jie Shou; Wu, De Chao",Velocity Structure of the Crust in Eastern Qinling Mountain,Journal of Chengdu Institute of Technology,,45247.00 ,1 ,21,
1988,"Chen, Husheng",Comprehensive Geophysical Survey of HQ-13 Line in the Lower Yangzi Reaches and its Geological Significance,Oil and Gas Geology,,211-222,3 ,9,
1987,"Ding, Yunyu; Cao, Jiamin; Huang, Changlin; Jiang, Guofang",A preliminary study of the structure of the earth's crust for the profile from Suixian to Xian,Chinese Journal of Geophysics,,31-38,1 ,30,#North China Craton; #DSS; #随县-西安
1998,"Dong, Shuwen; Wu, Xuanzhi; Gao, Rui; Lu, Deyuan; Li, Yingkang; He, Yiquan; Tang, Jiafu; Cao, Fenyang; Hou, Mingjin; Huang, Dezhi",On the Crust Velocity Levels and Dynamics of the Dabieshan Orogenic Belt,Chinese Journal of Geophysics,,349-361,3 ,41,#Dabie; #DSS; #庄墓-张公渡; #庄幕-张公渡
2015,"Duan, Yong-Hong; Liu, Bao-Jin; Zhao, Jin-Ren; Liu, Bao-Feng; Zhang, C. K.; Pan, Su-Zhen; Lin, Ji-Yan; Guo, Wen-Bin",2-D P-wave velocity structure of lithosphere in the North China tectonic zone: Constraints from the Yancheng-Baotou deep seismic profile,Science China-Earth Sciences,10.1007/s11430-015-5081-y,1577-1591,9 ,58,#North China Craton; #大丰-包头; #DSS
1998,"Fu, Weizhou; Yang, Baojun; Liu, Cai; Kibihiob, C. B.",Study on the Seismology in Manzhouli-Suifenhe Geoscience Transece of China,Journal of Changchun University of Science and Technology,,206-212,2 ,28,#DSS; #满洲里-绥芬河
1991,"Jia, Shixu; Liu, Changquan",Interpretation of Heze-Changzhi DSS profile in south of the basin in North China,North China Earthquake Sciences,,45250.00 ,2 ,9,#菏泽-长治
2009,"Jia, Shixu; Zhang, Chengke; Zhao, Jinren; Fang, Shengming; Liu, Zhi; Zhao, Junmeng",Crustal Structure of the Rift-depression Basin and Yanshan Uplite in the Northeast Part of North China,Chinese Journal of Geophysics,,99-110,1 ,52,#North China Craton; #天津-赤城; #DSS
2005,"Jia, Shi-Xu; Qi, Cheng; Wang, Fu-Yun; Chen, Qi-Fu; Zhang, Xian-Kang; Chen, Yong",Three-dimensional crustal gridded structure of the Capital area,Chinese Journal of Geophysics,,1316-1324,6 ,48,Review article; #North China Craton; #DSS
2014,"Jia, S. X.; Wang, F. Y.; Tian, X. F.; Duan, Y. H.; Zhang, J. S.; Liu, B. F.; Lin, J. Y.",Crustal structure and tectonic study of North China Craton from a long deep seismic sounding profile,Tectonophysics,10.1016/j.tecto.2014.04.013,48-56,,627,#North China Craton; #文登-阿拉善; #DSS
2005,"Jia, Shi-Xu; Zhang, Xian-Kang",Crustal structure and comparison of different tencect blocks in North China,Chinese Journal of Geophysics,,611-620,3 ,48,#North China Craton; #DSS; #淄博-应县
1990,"Li, Ping",Fuzzy Recognition of Models of Crustal Velocity Structure Along Luyang-Haicheng-Donggou DSS Profile,Northeastern Seismolgical Research,,59-73,2 ,6,#闾阳—海城—东沟
2011,"Li, S. L.; Lai, X. L.; Liu, B. F.; Wang, Z. S.; He, J. Y.; Sun, Y.",Differences in lithospheric structures between two sides of Taihang Mountain obtained from the Zhucheng-Yichuan deep seismic sounding profile,Science China-Earth Sciences,10.1007/s11430-011-4191-4,871-880,6 ,54,#诸城-伊川; #North China Craton; #DSS
1998,"Li, S. L.; Mooney, W. D.",Crustal structure of China from deep seismic sounding profiles,Tectonophysics,Doi 10.1016/S0040-1951(97)00287-4,105-113,44930 ,288,Review article; #DSS
2006,"Li, S. L.; Mooney, W. D.; Fan, J. C.",Crustal structure of mainland China from deep seismic sounding data,Tectonophysics,10.1016/j.tecto.2006.01.026,239-252,44928 ,420,#DSS; Review article
2001,"Li, S. L.; Zhang, X. K.; Song, Z. L.; Shi, J. H.; Deng, H. Z.; Yang, J.; Zhang, C. K.; Ren, Q. F.",Three-dimensional crustal structure of the capital area obtained by a joint inversion of DSS data from multiple profiles,Chinese Journal of Geophysics,,360-+,3 ,44,Review article; #North China Craton; #DSS
2002,"Li, Song-Lin; Zhang, Xian-Kang; Zhang, Cheng-Ke; Zhao, Jin-Ren; Cheng, Shuang-Xi",A preliminary study on the crustal velocity structure of Maqin-Lanzhou-Jingbian by means of deep seismic sounding profile,Chinese Journal of Geophysics,,210-217,2 ,45,#NE Tibet; #North China Craton; #玛沁-靖边; #DSS
2014,"Li, Wenhui; Gao, Rui; Keller, G. Randy; Li, qiusheng; Hou, Hesheng; Li, Yingkang; Zhang, Shihong",Crustal structure od the northern margin of the North China Craton from Huailai to Sonid Youqi profile,Chinese Journal of Geophysics,,472-483,2 ,57,#North China Craton; #怀来-苏尼特右旗; #DSS
2014,"Li, Ying-Kang; Gao, Rui; Yao, Yu-Tao; Mi, Sheng-Xin; Li, Wen-Hui; Xiong, Xiao-Song; Gao, Jian-Wei",Crustal velocity structure from the northern margin of the North China Craton to the southern margin of the Siberian plate,Chinese Journal of Geophysics,10.6038/cjg20140214,484-497,2 ,57,#North China Craton; #张家口-中蒙边界; #DSS
