编号,剖面名称,数据采集时间,长度(km),剖面位置,,,,参考文献
1,元氏-济南,1968,270,114.5254 ,37.7673 ,117.1200 ,36.6512 ,"滕吉文等, 1975"
2,亚东-当雄,1977,450,88.8629 ,27.4865 ,91.0895 ,30.6993 ,"中国科学院地球物理所, 1981
Teng et al., 1983"
3,杭州-赣州,1978,727,120.0898 ,30.4755 ,115.0015 ,25.8100 ,"国家地震震惧永平爆破联合观测小组, 1988"
4,信阳-宁德,1978,910,114.0117 ,32.2582 ,119.6017 ,26.6627 ,"国家地震震惧永平爆破联合观测小组, 1988"
5,宁河-涿鹿 (H06),1978,348,118.5000 ,39.2000 ,114.4421 ,40.6077 ,"赵金仁等, 1999"
6,塘沽-密云(H02),1979,200,116.5665 ,40.9013 ,117.5681 ,39.0721 ,"深部物探成果编写组, 1986"
7,盐山-延庆(H04),1979,450,115.3471 ,41.1528 ,117.8931 ,37.2638 ,"深部物探成果编写组, 1986"
8,任县-武清 (VI),1980,431,114.6053 ,37.0338 ,117.2758 ,39.7835 ,"深部物探成果编写组, 1986"
9,连云港-泗水 (H07),1980,320,116.6178 ,36.1645 ,119.5582 ,34.3904 ,"王光杰等, 2007
邓晋福等, 2007
刘昌铨等, 1991"
10,马鞍山-启东,1980,300,118.6090 ,31.6456 ,121.8291 ,31.8090 ,"滕吉文等, 1985"
11,随县-西安,1980,400,109.6930 ,34.1357 ,113.1959 ,32.1395 ,"丁韫玉等, 1987"
12,随县-马鞍山,1980,500,118.5068 ,31.6705 ,113.4046 ,31.7123 ,"郑哗和滕吉文, 1989"
13,随县-安阳,1981,450,113.4155 ,32.2041 ,114.1894 ,36.0550 ,"胡鸿翔等, 1986"
14,随县-永平,1981,620,113.1682 ,31.9163 ,118.0407 ,28.1313 ,"国家地震局工矿爆破观测协调小组, 1988"
15,贾家湾-沙园,1981,417,109.1113 ,29.6555 ,113.0780 ,31.9907 ,"国家地震局工矿爆破观测协调小组, 1988"
16,佩枯错-普莫雍错,1981,480,85.5730 ,28.8054 ,89.8370 ,28.5249 ,"Zhang and Klemperer., 2010
张忠杰等, 2002
滕吉文等, 1983"
17,淄博-应县,1981,560,117.7781 ,36.9053 ,113.1764 ,39.4800 ,"嘉世旭和张先康, 2005
刘昌铨等, 1991"
18,柳州-零陵,1981,290,109.3591 ,24.3934 ,111.4744 ,26.2477 ,"广西柳州爆破观测小组, 1988"
19,柳州-阳江,1981,222,109.3591 ,24.3934 ,111.9190 ,21.8256 ,"广西柳州爆破观测小组, 1988"
20,乐亭-张家口(H05),1981,,118.9426 ,39.2569 ,115.5994 ,40.4717 ,"深部物探成果编写组, 1986"
21,柏各庄-正蓝旗 (H01),1981,400,118.4298 ,39.1854 ,115.6605 ,42.3345 ,"邓晋福等, 2007
深部物探成果编写组, 1986"
22,安国-遵化 (H10),1981,350,115.2469 ,38.4502 ,118.2182 ,40.4816 ,"深部物探成果编写组, 1986"
23,河间-武清(H12),1981,200,116.0592 ,38.3665 ,117.2758 ,39.7767 ,"深部物探成果编写组, 1986"
24,沧州-喀喇沁 (VII),1982,500,115.9902 ,37.6523 ,119.5994 ,41.2916 ,"嘉世旭和刘昌铨, 1988
邓晋福等, 2007"
25,石家庄-喀喇沁旗 (H11),1982,500,113.8100 ,36.0600 ,119.0000 ,42.0000 ,"岳华峰和宋占龙, 1988"
26,门源-渭南,1982,969,101.2011 ,37.6077 ,110.4670 ,34.0152 ,"张少泉等, 1985"
27,遮放-宾川,1982,310,98.0020 ,24.0299 ,100.6041 ,25.8421 ,"胡鸿翔等, 1986
张忠杰等, 2005a"
28,海兴-丰镇 (III),1982,560,117.5000 ,38.0000 ,112.8000 ,40.6364 ,"孙武城等, 1988（P33）
张建狮等, 1997"
29,色林错-雅安多,1982,510,89.0267 ,31.5909 ,94.3349 ,31.8258 ,"Zhang and Klemperer., 2005
张忠杰等, 2001"
30,洱源-江川,1982,345,99.5431 ,27.1162 ,103.2620 ,24.2707 ,"胡鸿翔等, 1986
张智等, 2007"
31,沱沱河-格尔木,1983,340,92.4447 ,34.217731?,94.8900 ,36.4200 ,"卢德源和陈纪平, 1987
卢德源和王香泾, 1990
李秋生等, 2003"
32,德州-秦皇岛(VIII),1983,400,116.9175 ,37.7307 ,121.1084 ,41.9895 ,"张成科等, 2002"
33,诸城-托克托 (IV),1983,600,112.6941 ,39.8121 ,119.9130 ,35.6840 ,"邓晋福等, 2007"
34,太原-宣化 (V),1983,650,112.3710 ,37.7987 ,115.1339 ,40.8554 ,"赵金仁等, 2006"
35,蒲江-阆中,1983,270,103.4914 ,30.2000 ,106.0092 ,31.5000 ,"陈学波等, 1988"
36,唐克-阆中,1983,390,102.5544 ,33.4464 ,106.0092 ,31.5000 ,"陈学波等, 1988"
37,唐克-蒲江,1983,370,102.5544 ,33.4464 ,103.4914 ,30.2000 ,"陈学波等, 1988"
38,闾阳—海城—东沟,1984,350,121.2500 ,41.3415 ,123.6387 ,39.8809 ,"卢造勋等, 1988"
39,拉鲊-长河坝,1984,424,102.0157 ,26.2594 ,102.1732 ,30.2072 ,"崔作舟等, 1987"
40,丽江-新市,1984,407,100.2771 ,26.8706 ,103.7897 ,28.6814 ,"崔作舟等, 1987"
41,丽江-者海,1984,360,100.2097 ,26.8976 ,103.9001 ,26.4575 ,"熊绍柏等, 1993
熊绍柏等, 1986"
42,郑州-济南 (H13),1984,600,112.2914 ,34.1758 ,117.8456 ,36.9403 ,"张成科等, 1994"
43,菏泽-长治 (H08),1984,350,116.1692 ,35.1361 ,112.4236 ,36.3464 ,"张成科等, 1994
邓晋福等, 2007"
44,张家口-化德 (II),1984,300,113.8441 ,41.9969 ,116.3049 ,39.9733 ,"赵金仁等, 2005"
45,西昌-牟定,1984,300,101.4881 ,25.2558 ,102.2522 ,27.9109 ,"尹周勋和熊绍柏, 1992"
46,白延-江洪,1984,210,109.7182 ,21.0512 ,110.7133 ,19.4248 ,"嘉世旭等, 2006
林中洋等, 1988
章林云等, 1988"
47,福州-汕头,1985,410,116.5716 ,23.4081 ,119.5572 ,25.9443 ,廖其林等， 1988
48,郑州-靖边 (H15),1985,500,113.0114 ,35.1936 ,110.3693 ,36.6533 ,"邓晋福等, 2007"
49,郑州-银川(H15),1986,660,110.9269 ,35.0814 ,105.3751 ,39.0429 ,数据已处理，结果未见发表
50,黑水-邵阳,1986,,103.0000 ,32.0000 ,111.4589 ,27.2394 ,"崔作舟等, 1996"
51,思茅-中甸,1986,607,99.6771 ,27.9360 ,101.1111 ,22.6692 ,"张智等, 2006"
52,孟连-马龙,1986,600,99.1816 ,22.1583 ,103.6734 ,25.5376 ,"张忠杰等, 2005b"
53,成县-西吉,1986,242,105.7485 ,33.7566 ,105.196902?,37.5000 ,"李清河等, 1991"
54,西安-白云鄂博(H16),1987,300,109.8042 ,39.5483 ,110.0517 ,42.2569 ,刘昌铨等， 1991
55,奉节-观音垱（三峡I）,1988,300,109.5486 ,31.1590 ,112.3083 ,30.5280 ,"Zhang et al., 2009
陈步云等, 1994"
56,灵璧-郑州(H18),1989,410,117.6639 ,33.5488 ,113.4331 ,34.6402 ,数据已处理，结果未见发表
57,阿尔泰-阿尔金,1988,1100,89.7361 ,46.7994 ,94.8670 ,39.6066 ,"王有学等, 2004"
58,连县-港口,1989,400,111.8830 ,25.9565 ,115.2424 ,22.3563 ,"尹周勋等, 1999
Zhang et al., 2013"
59,阿尔金-龙门山,1989,1600,95.0244 ,40.6400 ,104.5162 ,29.9565 ,"王有学等，2005
崔作舟等, 1996"
60,灵台-阿木去乎,,460,107.6423 ,35.1289 ,102.6858 ,34.8128 ,"阂祥仪等, 1991"
61,格尔木-额济纳旗,1992,1050,93.4900 ,35.4617 ,101.2015 ,42.5913 ,崔作舟等， 1995
62,泰安-忻县(H19),1992,500,115.9400 ,36.7400 ,113.3200 ,38.1400 ,"邓晋福等, 2007"
63,北京-丰镇(H20),1992,342,117.0000 ,40.2000 ,113.1000 ,40.5000 ,"祝治平等, 1997"
